Date,Series,Value
2018-02-19,Volume Intensity,0.2418
2018-02-20,Volume Intensity,0.2313
2018-02-21,Volume Intensity,0.2368
2018-02-22,Volume Intensity,0.2418
2018-02-23,Volume Intensity,0.2478
2018-02-24,Volume Intensity,0.2535
2018-02-25,Volume Intensity,0.3009
2018-02-26,Volume Intensity,0.3122
2018-02-27,Volume Intensity,0.3106
2018-02-28,Volume Intensity,0.3054
2018-03-01,Volume Intensity,0.3006
2018-03-02,Volume Intensity,0.2802
2018-03-03,Volume Intensity,0.2479
2018-03-04,Volume Intensity,0.2388
2018-03-05,Volume Intensity,0.2384
2018-03-06,Volume Intensity,0.24
2018-03-07,Volume Intensity,0.2446
2018-03-08,Volume Intensity,0.2422
2018-03-09,Volume Intensity,0.25
2018-03-10,Volume Intensity,0.2622
2018-03-11,Volume Intensity,0.2621
2018-03-12,Volume Intensity,0.2685
2018-03-13,Volume Intensity,0.2726
2018-03-14,Volume Intensity,0.2705
2018-03-15,Volume Intensity,0.2523
2018-03-16,Volume Intensity,0.2298
2018-03-17,Volume Intensity,0.2198
2018-03-18,Volume Intensity,0.1985
2018-03-19,Volume Intensity,0.1868
2018-03-20,Volume Intensity,0.1823
2018-03-21,Volume Intensity,0.1822
2018-03-22,Volume Intensity,0.1799
2018-03-23,Volume Intensity,0.1773
2018-03-24,Volume Intensity,0.1857
2018-03-25,Volume Intensity,0.1847
2018-03-26,Volume Intensity,0.188
2018-03-27,Volume Intensity,0.1965
2018-03-28,Volume Intensity,0.2045
2018-03-29,Volume Intensity,0.2088
2018-03-30,Volume Intensity,0.2083
2018-03-31,Volume Intensity,0.216
2018-04-01,Volume Intensity,0.2251
2018-04-02,Volume Intensity,0.2202
2018-04-03,Volume Intensity,0.219
2018-04-04,Volume Intensity,0.2226
2018-04-05,Volume Intensity,0.2165
2018-04-06,Volume Intensity,0.2049
2018-04-07,Volume Intensity,0.1821
2018-04-08,Volume Intensity,0.1782
2018-04-09,Volume Intensity,0.185
2018-04-10,Volume Intensity,0.187
2018-04-11,Volume Intensity,0.1946
2018-04-12,Volume Intensity,0.2046
2018-04-13,Volume Intensity,0.2253
2018-04-14,Volume Intensity,0.2498
2018-04-15,Volume Intensity,0.2527
2018-04-16,Volume Intensity,0.2566
2018-04-17,Volume Intensity,0.2571
2018-04-18,Volume Intensity,0.2582
2018-04-19,Volume Intensity,0.2473
2018-04-20,Volume Intensity,0.2363
2018-04-21,Volume Intensity,0.2276
2018-04-22,Volume Intensity,0.2299
2018-04-23,Volume Intensity,0.2353
2018-04-24,Volume Intensity,0.2371
2018-04-25,Volume Intensity,0.2437
2018-04-26,Volume Intensity,0.2323
2018-04-27,Volume Intensity,0.2358
2018-04-28,Volume Intensity,0.2417
2018-04-29,Volume Intensity,0.2486
2018-04-30,Volume Intensity,0.2713
2018-05-01,Volume Intensity,0.3038
2018-05-02,Volume Intensity,0.3167
2018-05-03,Volume Intensity,0.3081
2018-05-04,Volume Intensity,0.2959
2018-05-05,Volume Intensity,0.2933
2018-05-06,Volume Intensity,0.2704
2018-05-07,Volume Intensity,0.224
2018-05-08,Volume Intensity,0.2081
2018-05-09,Volume Intensity,0.2103
2018-05-10,Volume Intensity,0.2017
2018-05-11,Volume Intensity,0.1946
2018-05-12,Volume Intensity,0.2093
2018-05-13,Volume Intensity,0.2318
2018-05-14,Volume Intensity,0.2655
2018-05-15,Volume Intensity,0.2666
2018-05-16,Volume Intensity,0.2672
2018-05-17,Volume Intensity,0.2636
2018-05-18,Volume Intensity,0.2392
2018-05-19,Volume Intensity,0.2102
2018-05-20,Volume Intensity,0.1723
2018-05-21,Volume Intensity,0.1717
2018-05-22,Volume Intensity,0.1692
2018-05-23,Volume Intensity,0.1682
2018-05-24,Volume Intensity,0.1741
2018-05-25,Volume Intensity,0.1923
2018-05-26,Volume Intensity,0.2152
2018-05-27,Volume Intensity,0.2309
2018-05-28,Volume Intensity,0.2225
2018-05-29,Volume Intensity,0.2189
2018-05-30,Volume Intensity,0.2267
2018-05-31,Volume Intensity,0.2305
2018-06-01,Volume Intensity,0.2151
2018-06-02,Volume Intensity,0.1908
2018-06-03,Volume Intensity,0.2
2018-06-04,Volume Intensity,0.1994
2018-06-05,Volume Intensity,0.1957
2018-06-06,Volume Intensity,0.1917
2018-06-07,Volume Intensity,0.1941
2018-06-08,Volume Intensity,0.2116
2018-06-09,Volume Intensity,0.2246
2018-06-10,Volume Intensity,0.2295
2018-06-11,Volume Intensity,0.2317
2018-06-12,Volume Intensity,0.2385
2018-06-13,Volume Intensity,0.2452
2018-06-14,Volume Intensity,0.2449
2018-06-15,Volume Intensity,0.2428
2018-06-16,Volume Intensity,0.2622
2018-06-17,Volume Intensity,0.2578
2018-06-18,Volume Intensity,0.2637
2018-06-19,Volume Intensity,0.2687
2018-06-20,Volume Intensity,0.2921
2018-06-21,Volume Intensity,0.2941
2018-06-22,Volume Intensity,0.2923
2018-06-23,Volume Intensity,0.3126
2018-06-24,Volume Intensity,0.3109
2018-06-25,Volume Intensity,0.3031
2018-06-26,Volume Intensity,0.2765
2018-06-27,Volume Intensity,0.2872
2018-06-28,Volume Intensity,0.2693
2018-06-29,Volume Intensity,0.261
2018-06-30,Volume Intensity,0.2712
2018-07-01,Volume Intensity,0.2866
2018-07-02,Volume Intensity,0.2817
2018-07-03,Volume Intensity,0.266
2018-07-04,Volume Intensity,0.2689
2018-07-05,Volume Intensity,0.259
2018-07-06,Volume Intensity,0.2353
2018-07-07,Volume Intensity,0.217
2018-07-08,Volume Intensity,0.2223
